Iteración,Error Absoluto,Error Relativo,Error Cuadrático
1,25.46426439024286,0.1583273386615602,11.415692704975678
2,3.563339831414762,0.02215552366283184,1.9689168562345087
3,0.49638127134680055,0.0030863143913905603,0.3168880182777578
4,0.05551167536965984,0.0003451509806539085,0.03662999509686681
5,0.005803183519356381,3.6082039846255294e-05,0.0038598136199928038
6,0.0005937492362804164,3.691712235309369e-06,0.0003951605483393044
7,6.062147334517931e-05,3.769218067089591e-07,4.0346376452587855e-05
8,6.188273731666527e-06,3.8476387765570904e-08,4.118474189068551e-06
9,6.317264347188711e-07,3.927840350633463e-09,4.204280699450373e-07
10,6.449082867732159e-08,4.009800211024895e-10,4.292001303949472e-08
Solución aproximada:,"[22.42777655 20.19279709 15.43876857 20.10334591 15.3094809  13.19240016
 15.47018556 13.06228683 13.20018638 12.43579429]"
